Year,Subject,SubjectURL,Person,Picture,History,License
1999,OpenStax CNX,https://en.wikipedia.org/wiki/OpenStax_CNX,Richard Baraniuk,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Richard_Baraniuk_at_the_SPARC_2014_OA_Meeting_-_DSC00777_%28cropped%29.JPG/330px-Richard_Baraniuk_at_the_SPARC_2014_OA_Meeting_-_DSC00777_%28cropped%29.JPG,"formerly called Connexions, is a global repository of educational content provided by volunteers",Creative Commons Attribution 4.0
2000,StarOffice,https://en.wikipedia.org/wiki/StarOffice,Sun Microsystems,https://upload.wikimedia.org/wikipedia/en/c/c0/StarOffice_9.1.0_Start_Center.png,office suite to counter evil empire Microsoft,GNU Lesser General Public License
2001,IPython Notebook,https://en.wikipedia.org/wiki/Ipython,Fernando Perez,https://avatars3.githubusercontent.com/u/57394?v=3&s=400,"active documents that contain live code, equations, visualizations and explanatory text",BSD license
2001,Wikipedia,https://en.wikipedia.org/wiki/Wikipedia,Wikimedia Foundation,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Wikipedia-logo-v2.svg/225px-Wikipedia-logo-v2.svg.png,the free encyclopedia,Creative Commons license
2003,Arduino,https://en.wikipedia.org/wiki/Arduino,Massimo Banzi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Arduino_Uno_-_R3.jpg/330px-Arduino_Uno_-_R3.jpg,open-source electronics platform based on easy-to-use hardware and software,GNU General Public License (GPL)
2005,Git,https://en.wikipedia.org/wiki/Git,Linus Torvalds,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Linus_Torvalds.jpeg/330px-Linus_Torvalds.jpeg,version control system,
2005,YouTube,https://en.wikipedia.org/wiki/YouTube,Steve Chen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/YouTube_TaiwanVersionLaunch_SteveChen-2.jpg/330px-YouTube_TaiwanVersionLaunch_SteveChen-2.jpg,Video Hosting Service,
2006,Khan Academy,https://en.wikipedia.org/wiki/Khan_Academy,Salman Khan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Salman_Khan_TED_2011.jpg/330px-Salman_Khan_TED_2011.jpg,"learn anything - 
For free. For everyone. Forever",
2007,Android,https://en.wikipedia.org/wiki/Android_(operating_system),Google,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Android_robot_2014.svg/113px-Android_robot_2014.svg.png,mobile operating system,Apache License 2.0
2008,Blockchain / bitcoin,https://en.wikipedia.org/wiki/Blockchain,Satoshi Nakamoto,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Bitcoin_logo.svg/378px-Bitcoin_logo.svg.png,"an open, distributed ledger that can record transactions between two parties efficiently and in a verifiable and permanent way.",
2008,GitHub,https://en.wikipedia.org/wiki/GitHub,Tom Preston-Werner,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Tom_Preston-Werner.jpg/330px-Tom_Preston-Werner.jpg,Open source project repository,
2015,Tensorflow,https://en.wikipedia.org/wiki/TensorFlow,Google,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/TensorFlowLogo.png/330px-TensorFlowLogo.png,An open-source software library for Machine Intelligence,Apache 2.0 open source license
2017,Open AI,https://en.wikipedia.org/wiki/OpenAI,Elon Musk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Elon_Musk_2015.jpg/330px-Elon_Musk_2015.jpg,"promote and develop friendly AI in such a way as to benefit, rather than harm, humanity as a whole",
